# discovered prefixes: 336
# discovered properties: 543
prefix,indexes,count
2005,0,1
204D,1|2|3|4,4
204F,0,1
2050,0,1
2051,0,1
2052,1|2,2
2053,0,1
2054,0,1
2055,0,1
2056,0,1
2057,0,1
2059,0,1
205B,0,1
205C,1|2,2
205D,0,1
205E,0,1
205F,0,1
2060,0,1
2061,1|2,2
2062,0,1
2063,0,1
2064,0,1
2065,1,1
2066,0,1
2067,0,1
2068,0,1
2069,0,1
206A,0,1
206B,1|2|3,3
206C,1,1
206E,0,1
206F,0,1
2070,0,1
2072,1|2,2
2073,1,1
2074,1,1
2075,1|2,2
2076,0,1
2079,1|2,2
207A,1|2,2
207B,1,1
207C,1,1
207D,1|2,2
207E,1|2,2
207F,1|2,2
2080,1|2,2
2086,0,1
2087,0,1
2088,0,1
2089,0,1
208A,0,1
208D,1|2,2
208E,1|2,2
208F,0,1
2094,0,1
2095,0,1
2096,0,1
2097,0,1
2098,1|2|3|4|5|6|7|8|9,9
2099,1|2|3|4|5|6|7|8|9,9
209A,0,1
209B,0,1
209C,0,1
209D,0,1
209E,0,1
209F,0,1
20F0,1|3|4|5|6|7|8|9|A|B|C|D|E|F,14
20F1,1|3|4|5|6|7|8|9|A|B|C|D|E|F,14
20F2,1|3|4|5|6|7|8|9|A|B|C|D|E|F,14
20F3,1|3|4|5|6|7|8|9|A|B,10
20F4,0,1
20F5,0,1
20F6,0,1
20F7,0,1
2104,0,1
2105,0,1
2106,0,1
2107,0,1
2108,0,1
2109,0,1
2110,0,1
2111,0,1
2112,0,1
2113,0,1
2114,0,1
2115,0,1
2116,0,1
2117,0,1
2118,0,1
2119,0,1
2120,0,1
2121,0,1
2124,0,1
2125,0,1
2126,0,1
2127,0,1
2129,0,1
212A,0,1
212B,0,1
212C,0,1
212D,0,1
212E,1|2|3,3
212F,1|2|3,3
2130,0,1
2131,0,1
2132,0,1
2133,0,1
2134,0,1
2135,0,1
2136,0,1
2137,0,1
2138,0,1
2139,0,1
213A,0,1
213B,0,1
213C,0,1
213D,0,1
213E,0,1
213F,0,1
2140,0,1
2153,0,1
2159,0,1
215D,0,1
215E,0,1
215F,0,1
2160,0,1
2161,0,1
2165,1|2|3|4,4
2166,1|2|3|4,4
2167,1|2|3|4,4
2168,0,1
2169,0,1
216A,0,1
216B,0,1
216C,0,1
216D,0,1
216F,0,1
2171,0,1
2172,0,1
2173,0,1
2174,0,1
2175,0,1
2176,0,1
2177,0,1
2178,0,1
2179,0,1
2180,1|2|3|4|5|6|7|8|9|A,10
2182,0,1
2183,0,1
2184,0,1
2185,0,1
